"COD_IBGE","NM_MUN","NM_MUN_S","BIOMA","NM_UF"
5200555,"ALTO HORIZONTE","ALTO HORIZONTE","Cerrado","GOIAS"
3153509,"ALTO JEQUITIBÁ","ALTO JEQUITIBA","Mata Atlantica","MINAS GERAIS"
2200301,"ALTO LONGÁ","ALTO LONGA","Cerrado","PIAUI"
5100508,"ALTO PARAGUAI","ALTO PARAGUAI","Amazonia","MATO GROSSO"
5100508,"ALTO PARAGUAI","ALTO PARAGUAI","Cerrado","MATO GROSSO"
4128625,"ALTO PARAÍSO","ALTO PARAISO","Mata Atlantica","PARANA"
1100403,"ALTO PARAÍSO","ALTO PARAISO","Amazonia","RONDONIA"
5200605,"ALTO PARAÍSO DE GOIÁS","ALTO PARAISO DE GOIAS","Cerrado","GOIAS"
4100608,"ALTO PARANÁ","ALTO PARANA","Mata Atlantica","PARANA"
2100501,"ALTO PARNAÍBA","ALTO PARNAIBA","Cerrado","MARANHAO"
4100707,"ALTO PIQUIRI","ALTO PIQUIRI","Mata Atlantica","PARANA"
3102100,"ALTO RIO DOCE","ALTO RIO DOCE","Mata Atlantica","MINAS GERAIS"
3200359,"ALTO RIO NOVO","ALTO RIO NOVO","Mata Atlantica","ESPIRITO SANTO"
2300705,"ALTO SANTO","ALTO SANTO","Caatinga","CEARA"
5100607,"ALTO TAQUARI","ALTO TAQUARI","Cerrado","MATO GROSSO"
4100509,"ALTÔNIA","ALTONIA","Mata Atlantica","PARANA"
2200400,"ALTOS","ALTOS","Cerrado","PIAUI"
3501152,"ALUMÍNIO","ALUMINIO","Mata Atlantica","SAO PAULO"
1300029,"ALVARÃES","ALVARAES","Amazonia","AMAZONAS"
3102209,"ALVARENGA","ALVARENGA","Mata Atlantica","MINAS GERAIS"
3501202,"ÁLVARES FLORENCE","ALVARES FLORENCE","Cerrado","SAO PAULO"
3501202,"ÁLVARES FLORENCE","ALVARES FLORENCE","Mata Atlantica","SAO PAULO"
3501301,"ÁLVARES MACHADO","ALVARES MACHADO","Mata Atlantica","SAO PAULO"
3501400,"ÁLVARO DE CARVALHO","ALVARO DE CARVALHO","Mata Atlantica","SAO PAULO"
3501509,"ALVINLÂNDIA","ALVINLANDIA","Cerrado","SAO PAULO"
3501509,"ALVINLÂNDIA","ALVINLANDIA","Mata Atlantica","SAO PAULO"
3102308,"ALVINÓPOLIS","ALVINOPOLIS","Mata Atlantica","MINAS GERAIS"
1700707,"ALVORADA","ALVORADA","Cerrado","TOCANTINS"
4300604,"ALVORADA","ALVORADA","Pampa","RIO GRANDE DO SUL"
1100346,"ALVORADA D'OESTE","ALVORADA D'OESTE","Amazonia","RONDONIA"
3102407,"ALVORADA DE MINAS","ALVORADA DE MINAS","Mata Atlantica","MINAS GERAIS"
2200459,"ALVORADA DO GURGUÉIA","ALVORADA DO GURGUEIA","Caatinga","PIAUI"
2200459,"ALVORADA DO GURGUÉIA","ALVORADA DO GURGUEIA","Cerrado","PIAUI"
5200803,"ALVORADA DO NORTE","ALVORADA DO NORTE","Cerrado","GOIAS"
4100806,"ALVORADA DO SUL","ALVORADA DO SUL","Mata Atlantica","PARANA"
1400027,"AMAJARI","AMAJARI","Amazonia","RORAIMA"
5000609,"AMAMBAI","AMAMBAI","Cerrado","MATO GROSSO DO SUL"
5000609,"AMAMBAI","AMAMBAI","Mata Atlantica","MATO GROSSO DO SUL"
1600105,"AMAPÁ","AMAPA","Amazonia","AMAPA"
2100550,"AMAPÁ DO MARANHÃO","AMAPA DO MARANHAO","Amazonia","MARANHAO"
4100905,"AMAPORÃ","AMAPORA","Mata Atlantica","PARANA"
2600906,"AMARAJI","AMARAJI","Mata Atlantica","PERNAMBUCO"
4300638,"AMARAL FERRADOR","AMARAL FERRADOR","Pampa","RIO GRANDE DO SUL"
5200829,"AMARALINA","AMARALINA","Cerrado","GOIAS"
2200509,"AMARANTE","AMARANTE","Caatinga","PIAUI"
2200509,"AMARANTE","AMARANTE","Cerrado","PIAUI"
2100600,"AMARANTE DO MARANHÃO","AMARANTE DO MARANHAO","Amazonia","MARANHAO"
2100600,"AMARANTE DO MARANHÃO","AMARANTE DO MARANHAO","Cerrado","MARANHAO"
2901007,"AMARGOSA","AMARGOSA","Caatinga","BAHIA"
2901007,"AMARGOSA","AMARGOSA","Mata Atlantica","BAHIA"
1300060,"AMATURÁ","AMATURA","Amazonia","AMAZONAS"
2901106,"AMÉLIA RODRIGUES","AMELIA RODRIGUES","Mata Atlantica","BAHIA"
2901155,"AMÉRICA DOURADA","AMERICA DOURADA","Caatinga","BAHIA"
3501608,"AMERICANA","AMERICANA","Mata Atlantica","SAO PAULO"
5200852,"AMERICANO DO BRASIL","AMERICANO DO BRASIL","Cerrado","GOIAS"
3501707,"AMÉRICO BRASILIENSE","AMERICO BRASILIENSE","Cerrado","SAO PAULO"
3501707,"AMÉRICO BRASILIENSE","AMERICO BRASILIENSE","Mata Atlantica","SAO PAULO"
3501806,"AMÉRICO DE CAMPOS","AMERICO DE CAMPOS","Cerrado","SAO PAULO"
3501806,"AMÉRICO DE CAMPOS","AMERICO DE CAMPOS","Mata Atlantica","SAO PAULO"
4300646,"AMETISTA DO SUL","AMETISTA DO SUL","Mata Atlantica","RIO GRANDE DO SUL"
2300754,"AMONTADA","AMONTADA","Caatinga","CEARA"
5200902,"AMORINÓPOLIS","AMORINOPOLIS","Cerrado","GOIAS"
2500734,"AMPARO","AMPARO","Caatinga","PARAIBA"
3501905,"AMPARO","AMPARO","Mata Atlantica","SAO PAULO"
2800100,"AMPARO DE SÃO FRANCISCO","AMPARO DE SAO FRANCISCO","Caatinga","SERGIPE"
3102506,"AMPARO DO SERRA","AMPARO DO SERRA","Mata Atlantica","MINAS GERAIS"
4101002,"AMPÉRE","AMPERE","Mata Atlantica","PARANA"
2700201,"ANADIA","ANADIA","Mata Atlantica","ALAGOAS"
2901205,"ANAGÉ","ANAGE","Caatinga","BAHIA"
2901205,"ANAGÉ","ANAGE","Mata Atlantica","BAHIA"
4101051,"ANAHY","ANAHY","Mata Atlantica","PARANA"
1500701,"ANAJÁS","ANAJAS","Amazonia","PARA"
2100709,"ANAJATUBA","ANAJATUBA","Amazonia","MARANHAO"
3502002,"ANALÂNDIA","ANALANDIA","Cerrado","SAO PAULO"
3502002,"ANALÂNDIA","ANALANDIA","Mata Atlantica","SAO PAULO"
1300086,"ANAMÃ","ANAMA","Amazonia","AMAZONAS"
1701002,"ANANÁS","ANANAS","Amazonia","TOCANTINS"
1701002,"ANANÁS","ANANAS","Cerrado","TOCANTINS"
1500800,"ANANINDEUA","ANANINDEUA","Amazonia","PARA"
5201108,"ANÁPOLIS","ANAPOLIS","Cerrado","GOIAS"
1500859,"ANAPU","ANAPU","Amazonia","PARA"
2100808,"ANAPURUS","ANAPURUS","Cerrado","MARANHAO"
5000708,"ANASTÁCIO","ANASTACIO","Cerrado","MATO GROSSO DO SUL"
5000807,"ANAURILÂNDIA","ANAURILANDIA","Cerrado","MATO GROSSO DO SUL"
5000807,"ANAURILÂNDIA","ANAURILANDIA","Mata Atlantica","MATO GROSSO DO SUL"
3200409,"ANCHIETA","ANCHIETA","Mata Atlantica","ESPIRITO SANTO"
4200804,"ANCHIETA","ANCHIETA","Mata Atlantica","SANTA CATARINA"
2901304,"ANDARAÍ","ANDARAI","Caatinga","BAHIA"
4101101,"ANDIRÁ","ANDIRA","Mata Atlantica","PARANA"
2901353,"ANDORINHA","ANDORINHA","Caatinga","BAHIA"
3102605,"ANDRADAS","ANDRADAS","Mata Atlantica","MINAS GERAIS"
3502101,"ANDRADINA","ANDRADINA","Mata Atlantica","SAO PAULO"
4300661,"ANDRÉ DA ROCHA","ANDRE DA ROCHA","Mata Atlantica","RIO GRANDE DO SUL"
3102803,"ANDRELÂNDIA","ANDRELANDIA","Mata Atlantica","MINAS GERAIS"
3502200,"ANGATUBA","ANGATUBA","Cerrado","SAO PAULO"
3502200,"ANGATUBA","ANGATUBA","Mata Atlantica","SAO PAULO"
3102852,"ANGELÂNDIA","ANGELANDIA","Cerrado","MINAS GERAIS"
3102852,"ANGELÂNDIA","ANGELANDIA","Mata Atlantica","MINAS GERAIS"
5000856,"ANGÉLICA","ANGELICA","Mata Atlantica","MATO GROSSO DO SUL"
2601003,"ANGELIM","ANGELIM","Caatinga","PERNAMBUCO"
2601003,"ANGELIM","ANGELIM","Mata Atlantica","PERNAMBUCO"
4200903,"ANGELINA","ANGELINA","Mata Atlantica","SANTA CATARINA"
2901403,"ANGICAL","ANGICAL","Caatinga","BAHIA"
2901403,"ANGICAL","ANGICAL","Cerrado","BAHIA"
2200608,"ANGICAL DO PIAUÍ","ANGICAL DO PIAUI","Cerrado","PIAUI"
